Time/sec, Current/A
6.460e+1, 3.023e-7
6.470e+1, 2.962e-7
6.480e+1, 2.999e-7
6.490e+1, 3.089e-7
6.500e+1, 3.113e-7
6.510e+1, 3.023e-7
6.520e+1, 2.951e-7
6.530e+1, 2.984e-7
6.540e+1, 3.067e-7
6.550e+1, 3.098e-7
6.560e+1, 3.020e-7
6.570e+1, 2.948e-7
6.580e+1, 2.952e-7
6.590e+1, 3.043e-7
6.600e+1, 3.089e-7
6.610e+1, 3.013e-7
6.620e+1, 2.936e-7
6.630e+1, 2.939e-7
6.640e+1, 3.016e-7
6.650e+1, 3.072e-7
6.660e+1, 3.021e-7
6.670e+1, 2.927e-7
6.680e+1, 2.918e-7
6.690e+1, 2.997e-7
6.700e+1, 3.062e-7
6.710e+1, 3.016e-7
6.720e+1, 2.931e-7
6.730e+1, 2.899e-7
6.740e+1, 2.956e-7
6.750e+1, 3.043e-7
6.760e+1, 3.016e-7
6.770e+1, 2.918e-7
6.780e+1, 2.875e-7
6.790e+1, 2.938e-7
6.800e+1, 3.012e-7
6.810e+1, 3.014e-7
6.820e+1, 2.944e-7
6.830e+1, 2.855e-7
6.840e+1, 2.906e-7
6.850e+1, 2.976e-7
6.860e+1, 3.014e-7
6.870e+1, 2.942e-7
6.880e+1, 2.857e-7
6.890e+1, 2.868e-7
6.900e+1, 2.958e-7
6.910e+1, 2.996e-7
6.920e+1, 2.946e-7
6.930e+1, 2.862e-7
6.940e+1, 2.833e-7
6.950e+1, 2.915e-7
6.960e+1, 2.981e-7
6.970e+1, 2.959e-7
6.980e+1, 2.864e-7
6.990e+1, 2.821e-7
7.000e+1, 2.882e-7
7.010e+1, 2.957e-7
7.020e+1, 2.961e-7
7.030e+1, 2.873e-7
7.040e+1, 2.803e-7
7.050e+1, 2.851e-7
7.060e+1, 2.931e-7
7.070e+1, 2.955e-7
7.080e+1, 2.878e-7
7.090e+1, 2.799e-7
7.100e+1, 2.823e-7
7.110e+1, 2.914e-7
7.120e+1, 2.950e-7
7.130e+1, 2.878e-7
7.140e+1, 2.793e-7
7.150e+1, 2.803e-7
7.160e+1, 2.889e-7
7.170e+1, 2.932e-7
7.180e+1, 2.885e-7
7.190e+1, 2.786e-7
7.200e+1, 2.782e-7
7.210e+1, 2.865e-7
7.220e+1, 2.923e-7
7.230e+1, 2.878e-7
7.240e+1, 2.785e-7
7.250e+1, 2.764e-7
7.260e+1, 2.838e-7
7.270e+1, 2.906e-7
7.280e+1, 2.875e-7
7.290e+1, 2.786e-7
7.300e+1, 2.755e-7
7.310e+1, 2.806e-7
7.320e+1, 2.891e-7
7.330e+1, 2.876e-7
7.340e+1, 2.791e-7
7.350e+1, 2.734e-7
7.360e+1, 2.795e-7
7.370e+1, 2.867e-7
7.380e+1, 2.878e-7
7.390e+1, 2.784e-7
7.400e+1, 2.720e-7
7.410e+1, 2.766e-7
7.420e+1, 2.855e-7
7.430e+1, 2.865e-7
7.440e+1, 2.786e-7
7.450e+1, 2.713e-7
7.460e+1, 2.747e-7
7.470e+1, 2.839e-7
7.480e+1, 2.849e-7
7.490e+1, 2.779e-7
7.500e+1, 2.700e-7
7.510e+1, 2.729e-7
7.520e+1, 2.811e-7
7.530e+1, 2.847e-7
7.540e+1, 2.770e-7
7.550e+1, 2.694e-7
7.560e+1, 2.710e-7
7.570e+1, 2.784e-7
7.580e+1, 2.840e-7
7.590e+1, 2.770e-7
7.600e+1, 2.677e-7
7.610e+1, 2.682e-7
7.620e+1, 2.763e-7
7.630e+1, 2.827e-7
7.640e+1, 2.766e-7
7.650e+1, 2.677e-7
7.660e+1, 2.667e-7
7.670e+1, 2.745e-7
7.680e+1, 2.810e-7
7.690e+1, 2.764e-7
7.700e+1, 2.668e-7
7.710e+1, 2.653e-7
7.720e+1, 2.721e-7
7.730e+1, 2.794e-7
7.740e+1, 2.758e-7
7.750e+1, 2.661e-7
7.760e+1, 2.637e-7
7.770e+1, 2.706e-7
7.780e+1, 2.790e-7
7.790e+1, 2.748e-7
7.800e+1, 2.671e-7
7.810e+1, 2.624e-7
7.820e+1, 2.682e-7
7.830e+1, 2.766e-7
7.840e+1, 2.744e-7
7.850e+1, 2.650e-7
7.860e+1, 2.619e-7
7.870e+1, 2.665e-7
7.880e+1, 2.742e-7
7.890e+1, 2.743e-7
7.900e+1, 2.650e-7
7.910e+1, 2.598e-7
7.920e+1, 2.647e-7
7.930e+1, 2.731e-7
7.940e+1, 2.737e-7
7.950e+1, 2.643e-7
7.960e+1, 2.583e-7
7.970e+1, 2.629e-7
7.980e+1, 2.707e-7
7.990e+1, 2.727e-7
8.000e+1, 2.644e-7
8.010e+1, 2.573e-7
8.020e+1, 2.604e-7
8.030e+1, 2.692e-7
8.040e+1, 2.717e-7
8.050e+1, 2.656e-7
8.060e+1, 2.568e-7
8.070e+1, 2.576e-7
8.080e+1, 2.667e-7
8.090e+1, 2.711e-7
8.100e+1, 2.650e-7
8.110e+1, 2.570e-7
8.120e+1, 2.552e-7
8.130e+1, 2.622e-7
8.140e+1, 2.687e-7
8.150e+1, 2.662e-7
8.160e+1, 2.577e-7
8.170e+1, 2.530e-7
8.180e+1, 2.590e-7
8.190e+1, 2.675e-7
8.200e+1, 2.667e-7
8.210e+1, 2.584e-7
8.220e+1, 2.519e-7
8.230e+1, 2.553e-7
8.240e+1, 2.635e-7
8.250e+1, 2.673e-7
8.260e+1, 2.602e-7
8.270e+1, 2.526e-7
8.280e+1, 2.529e-7
8.290e+1, 2.594e-7
8.300e+1, 2.656e-7
8.310e+1, 2.626e-7
8.320e+1, 2.527e-7
8.330e+1, 2.486e-7
8.340e+1, 2.559e-7
8.350e+1, 2.632e-7
8.360e+1, 2.626e-7
8.370e+1, 2.551e-7
8.380e+1, 2.471e-7
8.390e+1, 2.519e-7
8.400e+1, 2.606e-7
8.410e+1, 2.630e-7
8.420e+1, 2.556e-7
8.430e+1, 2.477e-7
8.440e+1, 2.496e-7
8.450e+1, 2.569e-7
8.460e+1, 2.627e-7
8.470e+1, 2.569e-7
8.480e+1, 2.484e-7
8.490e+1, 2.463e-7
8.500e+1, 2.539e-7
8.510e+1, 2.609e-7
8.520e+1, 2.573e-7
8.530e+1, 2.485e-7
8.540e+1, 2.444e-7
8.550e+1, 2.515e-7
8.560e+1, 2.590e-7
8.570e+1, 2.583e-7
8.580e+1, 2.486e-7
8.590e+1, 2.438e-7
8.600e+1, 2.482e-7
8.610e+1, 2.575e-7
8.620e+1, 2.571e-7
8.630e+1, 2.491e-7
8.640e+1, 2.421e-7
8.650e+1, 2.452e-7
8.660e+1, 2.529e-7
8.670e+1, 2.564e-7
8.680e+1, 2.487e-7
