Sept. 7, 2020   11:27:42
Amperometric i-t Curve
File: c:\users\asus\desktop\code\testData Source:  Experiment
Instrument Model:  CHI660E
Header: 
Note: 

Init E (V) = 0.2
Sample Interval (s) = 0.1
Run Time (sec) = 4e+3
Quiet Time (sec) = 0
Sensitivity (A/V) = 1e-4

tp = 150.40s
ip = 6.189e-6A
Ap = 4.540e-5C

tp = 210.10s
ip = 4.571e-6A
Ap = 3.447e-5C

Time/sec, Current/A
4.240e+1, 1.749e-6
4.250e+1, 1.729e-6
4.260e+1, 1.737e-6
4.270e+1, 1.738e-6
4.280e+1, 1.720e-6
4.290e+1, 1.721e-6
4.300e+1, 1.722e-6
4.310e+1, 1.715e-6
4.320e+1, 1.711e-6
4.330e+1, 1.709e-6
4.340e+1, 1.697e-6
4.350e+1, 1.714e-6
4.360e+1, 1.683e-6
4.370e+1, 1.707e-6
4.380e+1, 1.710e-6
4.390e+1, 1.698e-6
4.400e+1, 1.687e-6
4.410e+1, 1.695e-6
4.420e+1, 1.680e-6
4.430e+1, 1.687e-6
4.440e+1, 1.679e-6
4.450e+1, 1.672e-6
4.460e+1, 1.657e-6
4.470e+1, 1.701e-6
4.480e+1, 1.642e-6
4.490e+1, 1.681e-6
4.500e+1, 1.654e-6
4.510e+1, 1.679e-6
4.520e+1, 1.641e-6
4.530e+1, 1.661e-6
4.540e+1, 1.639e-6
4.550e+1, 1.664e-6
4.560e+1, 1.627e-6
4.570e+1, 1.668e-6
4.580e+1, 1.616e-6
4.590e+1, 1.658e-6
4.600e+1, 1.630e-6
4.610e+1, 1.648e-6
4.620e+1, 1.617e-6
4.630e+1, 1.663e-6
4.640e+1, 1.622e-6
4.650e+1, 1.626e-6
4.660e+1, 1.624e-6
4.670e+1, 1.634e-6
4.680e+1, 1.616e-6
4.690e+1, 1.622e-6
4.700e+1, 1.609e-6
4.710e+1, 1.620e-6
4.720e+1, 1.607e-6
4.730e+1, 1.614e-6
4.740e+1, 1.607e-6
4.750e+1, 1.632e-6
4.760e+1, 1.596e-6
4.770e+1, 1.626e-6
4.780e+1, 1.592e-6
4.790e+1, 1.611e-6
4.800e+1, 1.606e-6
4.810e+1, 1.593e-6
4.820e+1, 1.615e-6
4.830e+1, 1.591e-6
4.840e+1, 1.604e-6
4.850e+1, 1.584e-6
4.860e+1, 1.587e-6
4.870e+1, 1.588e-6
4.880e+1, 1.584e-6
4.890e+1, 1.582e-6
4.900e+1, 1.583e-6
4.910e+1, 1.571e-6
4.920e+1, 1.590e-6
4.930e+1, 1.570e-6
4.940e+1, 1.576e-6
4.950e+1, 1.565e-6
4.960e+1, 1.575e-6
4.970e+1, 1.555e-6
4.980e+1, 1.566e-6
4.990e+1, 1.548e-6
5.000e+1, 1.578e-6
5.010e+1, 1.552e-6
5.020e+1, 1.562e-6
5.030e+1, 1.538e-6
5.040e+1, 1.572e-6
5.050e+1, 1.531e-6
5.060e+1, 1.555e-6
5.070e+1, 1.532e-6
5.080e+1, 1.555e-6
5.090e+1, 1.531e-6
5.100e+1, 1.565e-6
5.110e+1, 1.522e-6
5.120e+1, 1.557e-6
5.130e+1, 1.523e-6
5.140e+1, 1.536e-6
5.150e+1, 1.538e-6
5.160e+1, 1.533e-6
5.170e+1, 1.534e-6
5.180e+1, 1.533e-6
5.190e+1, 1.513e-6
5.200e+1, 1.528e-6
5.210e+1, 1.529e-6
5.220e+1, 1.517e-6
5.230e+1, 1.517e-6
5.240e+1, 1.513e-6
5.250e+1, 1.517e-6
5.260e+1, 1.504e-6
5.270e+1, 1.514e-6
5.280e+1, 1.507e-6
5.290e+1, 1.509e-6
5.300e+1, 1.502e-6
5.310e+1, 1.504e-6
5.320e+1, 1.488e-6
5.330e+1, 1.508e-6
5.340e+1, 1.482e-6
5.350e+1, 1.509e-6
5.360e+1, 1.485e-6
5.370e+1, 1.491e-6
5.380e+1, 1.488e-6
5.390e+1, 1.503e-6
5.400e+1, 1.476e-6
5.410e+1, 1.518e-6
5.420e+1, 1.468e-6
5.430e+1, 1.487e-6
5.440e+1, 1.488e-6
5.450e+1, 1.495e-6
5.460e+1, 1.468e-6
5.470e+1, 1.495e-6
5.480e+1, 1.481e-6
5.490e+1, 1.482e-6
5.500e+1, 1.489e-6
5.510e+1, 1.485e-6
5.520e+1, 1.480e-6
5.530e+1, 1.485e-6
5.540e+1, 1.479e-6
5.550e+1, 1.474e-6
5.560e+1, 1.465e-6
5.570e+1, 1.474e-6
5.580e+1, 1.468e-6
5.590e+1, 1.470e-6
5.600e+1, 1.463e-6
5.610e+1, 1.479e-6
5.620e+1, 1.467e-6
5.630e+1, 1.458e-6
5.640e+1, 1.475e-6
5.650e+1, 1.458e-6
5.660e+1, 1.465e-6
5.670e+1, 1.460e-6
5.680e+1, 1.460e-6
5.690e+1, 1.452e-6
5.700e+1, 1.470e-6
5.710e+1, 1.433e-6
5.720e+1, 1.474e-6
5.730e+1, 1.445e-6
5.740e+1, 1.451e-6
5.750e+1, 1.430e-6
5.760e+1, 1.472e-6
5.770e+1, 1.433e-6
5.780e+1, 1.462e-6
5.790e+1, 1.432e-6
5.800e+1, 1.445e-6
5.810e+1, 1.443e-6
5.820e+1, 1.454e-6
5.830e+1, 1.418e-6
5.840e+1, 1.443e-6
5.850e+1, 1.426e-6
5.860e+1, 1.444e-6
5.870e+1, 1.423e-6
5.880e+1, 1.437e-6
5.890e+1, 1.422e-6
5.900e+1, 1.439e-6
5.910e+1, 1.406e-6
5.920e+1, 1.450e-6
5.930e+1, 1.423e-6
5.940e+1, 1.435e-6
5.950e+1, 1.415e-6
5.960e+1, 1.431e-6
5.970e+1, 1.414e-6
5.980e+1, 1.448e-6
5.990e+1, 1.402e-6
6.000e+1, 1.435e-6
6.010e+1, 1.421e-6
6.020e+1, 1.423e-6
6.030e+1, -6.083e-7
6.040e+1, -2.204e-7
6.050e+1, -8.795e-8
6.060e+1, -3.456e-8
6.070e+1, -8.802e-9
6.080e+1, 7.483e-9
6.090e+1, 2.083e-8
6.100e+1, 3.286e-8
6.110e+1, 4.109e-8
6.120e+1, 4.677e-8
6.130e+1, 5.378e-8
6.140e+1, 5.634e-8
6.150e+1, 6.183e-8
6.160e+1, 6.202e-8
